プレイヤー名,合計,パーフェクトイーター,烏,μ9,サケビノミドリ,焔華,LIMIT TOPPA REVOLUTION,左脳スパーク,蒼い弓箭,ブルーローズイノセンス,怒れる大きな白い馬,極悪の華,Journey
ＳＴＳ．ＴＫ,1119118,94620,94323,95299,93408,92922,91957,95943,93488,94513,88300,93913,90432
ようすけＥＸ,1117822,95349,93695,95330,92984,91560,90441,95297,94651,94930,88372,94249,90964
ＣＡＴ７７７,1117568,94830,93972,94257,92288,92001,92501,95798,93885,93565,90134,92849,91488
ゆうぐれ,1117327,94943,93791,94646,92704,92092,91780,96103,93453,93147,88318,94475,91875
ＩＣＢ,1115820,95778,93599,94366,93616,92899,91685,95348,93004,94191,89037,93338,88959
Ｍ,1115637,96004,91821,95283,93616,92884,92420,95297,94149,93626,85980,92864,91693
ヒオトコ,1115178,93935,93493,95617,93560,91796,90382,95079,93656,94173,88570,93520,91397
ロスヴァイセ,1114824,94988,93525,95120,93416,91095,91427,96211,92308,93408,89019,93381,90926
せらふ,1114070,94176,91916,95205,93672,92085,91537,95145,93903,94121,88678,93177,90455
まさお,1113050,94710,93493,94902,94384,91834,90345,95624,94290,93834,87356,92339,89939
Ｒｅｄ,1112988,94492,93301,95345,93456,91308,89896,96139,91876,92660,90521,93440,90554
ＶＥＲＴＹ,1112257,95492,92800,94895,93224,92853,91302,96139,92308,92608,87437,93564,89635
みゅーと,1110678,94477,92651,92626,94056,92853,91545,95210,92740,91443,88902,93462,90713
サツキーＹＨ,1109491,95116,94643,94716,94528,92633,90794,92859,92185,95234,85845,90787,90151
Ｈｉｎ－ｎｕ,1107908,94815,92949,89782,92064,89132,90235,95094,92854,94965,89829,93972,92217
あおかぜ,1106908,94695,91533,94366,91864,91202,91169,95290,91788,92426,88156,93432,90987
ライス,1105945,93468,91075,93465,93512,92336,89308,95043,92881,92226,89262,92572,90797
しろいヤギ,1105215,93792,93184,93853,93272,90662,90132,96204,90881,91452,89703,93083,88997
モジャ,1105184,94341,90915,93418,91776,90936,89153,95268,93568,94017,89244,92412,90136
ＬＥＭＯＮ,1103421,94401,93535,94786,90800,91286,90345,95827,91568,93478,85665,92725,89005
ぼんじん,1102434,94364,93706,95066,92640,92602,88329,93214,93700,91608,85980,92091,89134
ＳＩＮＯＵ,1100786,92475,91427,93978,93696,91156,90051,92931,90995,90339,90017,92689,91032
ひで＠４２,1097057,93182,91853,94405,94104,92366,90493,94883,91409,91660,84181,89205,89316
りいど,1093420,93498,90660,92501,91336,89863,89573,94165,92511,91008,86276,91749,90280
ＭＥＳＨＩ,1092835,93175,90905,92299,93072,91529,91000,94005,90986,90113,86654,92135,86962
なはなはち,1092571,94732,92183,93271,91264,91917,89970,94455,91867,90808,84028,90772,87304
りうと,1091789,90895,90905,92618,91672,91019,89624,92278,90748,91765,88516,91195,90554
おぎうえ,1090290,99729,99520,99572,99136,98652,99293,99296,99339,99530,96879,99344,0
るーく,1090240,94025,92257,91616,91032,91278,90066,92960,92255,90504,85692,88753,89802
すみれ＠ＦＲ,1089584,99390,99265,99650,98656,98477,98918,99455,99392,0,98318,99278,98785
ＴＯＧＥ,1088221,93069,90457,93729,92392,91027,87439,93026,90784,91373,85647,90911,88367
ひろいきくり,1087516,99548,99552,99277,98296,98203,98697,99281,0,99295,98246,99103,98018
いたです,1085719,93739,91352,90994,92416,90593,87321,92808,90634,91695,84937,91326,87904
ＭＡＤＯＫＡ,1084615,99300,99190,99184,98320,98105,98388,99281,98784,97913,0,99081,97069
こたつぼ,1082245,92949,90820,92556,93248,90844,86136,94622,86317,90843,85206,89183,89521
みかんビーフ,1080556,98908,98977,98826,98128,98188,97630,98345,0,98678,97401,98498,96977
ＭＳＫ,1077745,93130,90905,92191,90040,90395,89632,89687,90590,90052,84217,89686,87220
ＰＯＰＣＯＮ,1076361,99097,98328,98547,97816,97526,96041,98563,97991,98773,0,98243,95436
ＳＹＯ,1075973,92272,90351,93115,90896,88538,88903,92576,90784,90243,82266,88520,87509
Ｂ－ＣＹＣ,1074603,98848,97976,98539,97456,96993,96291,98316,98651,98165,0,97689,95679
サウ,1073566,90933,90575,92128,89888,88242,89698,92743,90643,89226,82688,88192,88610
マロミ,1073274,98171,98274,98313,97072,96986,97328,98693,97550,0,96133,97944,96810
まつすけ,1071029,90872,89084,91825,91368,88850,87902,92162,90625,89652,83363,88440,86886
ぱんだトン,1069459,91926,89456,90287,90088,88508,88896,92960,88792,90008,80512,89788,88238
ウェンドロン,1068925,91482,88317,92742,91528,88850,86622,92256,89867,90504,81717,88586,86454
ざょせ,1068601,98419,98029,98313,97336,96453,97137,0,96088,97278,95629,97412,96507
ゆ,1068032,98532,98019,98306,96736,96149,95401,97968,97541,97478,94658,97244,0
ＹＡＳ,1067825,91218,91288,91639,90840,87800,86754,93076,89709,85200,83992,89096,87213
５４４,1066084,92370,87337,92905,88152,89048,86585,91908,88528,88843,84379,89788,86241
てゃんぷ,1064377,98510,97720,98306,97272,96590,96107,97924,0,96321,93696,97011,94920
ふわみ,1061937,98299,98083,97909,95864,95890,95945,98294,95471,0,95467,97040,93675
とりぴ,1060633,93634,88636,93442,90320,89299,86504,93359,87779,90460,77275,83965,85960
リベット,1053024,89653,87156,89355,89176,85852,86254,90261,88502,88486,83965,90029,84335
ファンケル,1052473,91881,88008,90023,90888,88515,86747,92046,85022,83530,80107,89693,86013
はせれお,1052456,96320,95740,97365,96560,95875,94856,97365,96220,0,91124,95838,95193
ふーる,1052385,90684,88807,90000,86528,86347,84201,92322,87251,86608,85116,89001,85520
ほたるいか,1047565,91580,88232,90784,89544,88135,86195,92975,88308,84991,79217,84795,82809
ＴＩＺ,1043438,97215,95835,96519,96248,95859,95967,0,95735,95826,86016,95758,92460
ええええ,1043419,91038,86006,90295,85872,86697,85967,90029,88449,84756,82949,86479,84882
ＲＩＥＺＺ,1042829,89112,87518,88422,86472,88500,84922,88708,87541,85652,83201,86122,86659
ＭＩＬＩ,1042658,88577,87933,88243,87784,87290,84039,88889,87594,85791,82176,88352,85990
カササギ,1041791,89721,85069,88212,88960,86377,85974,88940,87400,87373,82293,86552,84920
みっくん,1038232,96267,95654,96223,95424,93592,94201,96792,94414,93947,89334,0,92384
ひじタルパン,1033410,95590,93056,96045,94968,92427,92597,96886,94722,95721,89523,0,91875
そーらよん,1023858,85718,79701,85944,84848,84467,85025,92119,88352,84747,80755,86275,85907
ＭＥＫ,1023443,87765,86006,87233,84888,87009,84032,85783,85506,84965,81546,85218,83492
ポップンＢ,1019210,89849,84217,85843,84648,86780,85952,87772,86308,86556,75683,84183,81419
ＭＡＱ,1019187,86471,87965,89184,87144,84824,79713,87968,83480,83165,80431,85889,82953
ばじぇのぶ,1018824,84898,85601,87738,86888,83181,82531,89390,84669,83800,81393,87521,81214
えむ,994651,99819,99904,99790,99296,99315,99558,99564,99365,0,99217,0,98823
ＯＧＲＥ,992957,86388,83226,83317,86104,77252,81677,88461,72202,81356,80305,88243,84426
だっこるー,992374,84409,82108,86930,85536,83424,85158,88875,80264,76043,75575,83680,80372
グミチュウ,990015,99571,99105,99619,98552,98538,98572,99564,99039,99452,98003,0,0
ひ７いてんし,987959,99503,99424,99487,98360,98211,98520,99129,99233,0,97922,0,98170
ハイライト,982922,99322,99009,98943,98136,97153,98116,99339,0,98956,97715,0,96233
ＪＵＮＧＬＥ,978470,99074,98061,98648,97488,97191,97019,98483,98114,98556,95836,0,0
ゾディー,973565,98487,98359,98430,97152,96803,96850,98911,97330,0,95746,0,95497
ＭＯＩＥ,965967,97539,97539,99277,97760,97762,97130,0,96140,96530,91546,94744,0
